timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1732725061024,382,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/login,200,OK,Thread Group 1-13,text,true,,999,553,30,30,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/login,382,0,0
1732725061025,459,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/login,200,OK,Thread Group 1-9,text,true,,999,553,30,30,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/login,459,0,0
1732725061033,596,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/login,200,OK,Thread Group 1-5,text,true,,999,553,30,30,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/login,596,0,0
1732725061034,640,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/login,200,OK,Thread Group 1-16,text,true,,999,553,30,30,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/login,639,0,0
1732725056706,4998,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/explore-post?size=10&page=1,200,OK,Thread Group 1-4,text,true,,5615,724,30,30,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/explore-post?size=10&page=1,4998,0,0
1732725056522,5181,LoginTest,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-4,,true,,6614,1277,30,30,null,5181,2,0
1732725061083,874,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/login,200,OK,Thread Group 1-12,text,true,,999,553,30,30,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/login,874,0,0
1732725061083,898,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/login,200,OK,Thread Group 1-15,text,true,,999,553,30,30,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/login,898,0,0
1732725057786,4221,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/explore-post?size=10&page=1,200,OK,Thread Group 1-17,text,true,,5408,724,30,30,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/explore-post?size=10&page=1,4221,0,0
1732725057568,4438,LoginTest,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-17,,true,,6407,1277,30,30,null,4438,1,0
